competitor_id,name,country,country_code,abbreviation,raw_json
sr:competitor:110707,"Pichler, David",Austria,AUT,PIC,"{""id"": ""sr:competitor:110707"", ""name"": ""Pichler, David"", ""country"": ""Austria"", ""country_code"": ""AUT"", ""abbreviation"": ""PIC""}"
sr:competitor:81763,"Jacq, Gregoire",France,FRA,JAC,"{""id"": ""sr:competitor:81763"", ""name"": ""Jacq, Gregoire"", ""country"": ""France"", ""country_code"": ""FRA"", ""abbreviation"": ""JAC""}"
sr:competitor:422955,"Sanchez, Luca",France,FRA,SAN,"{""id"": ""sr:competitor:422955"", ""name"": ""Sanchez, Luca"", ""country"": ""France"", ""country_code"": ""FRA"", ""abbreviation"": ""SAN""}"
sr:competitor:25021,"Cervantes, Inigo",Spain,ESP,CER,"{""id"": ""sr:competitor:25021"", ""name"": ""Cervantes, Inigo"", ""country"": ""Spain"", ""country_code"": ""ESP"", ""abbreviation"": ""CER""}"
sr:competitor:53759,"Prashanth, N. Vijay Sundar",India,IND,PRA,"{""id"": ""sr:competitor:53759"", ""name"": ""Prashanth, N. Vijay Sundar"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""PRA""}"
sr:competitor:359602,"Musetti, Lorenzo",Italy,ITA,MUS,"{""id"": ""sr:competitor:359602"", ""name"": ""Musetti, Lorenzo"", ""country"": ""Italy"", ""country_code"": ""ITA"", ""abbreviation"": ""MUS""}"
sr:competitor:203681,"Korda, Sebastian",USA,USA,KOR,"{""id"": ""sr:competitor:203681"", ""name"": ""Korda, Sebastian"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""KOR""}"
sr:competitor:297448,"Kiger, Mac",USA,USA,KIG,"{""id"": ""sr:competitor:297448"", ""name"": ""Kiger, Mac"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""KIG""}"
sr:competitor:126356,"Munar, Jaume",Spain,ESP,MUN,"{""id"": ""sr:competitor:126356"", ""name"": ""Munar, Jaume"", ""country"": ""Spain"", ""country_code"": ""ESP"", ""abbreviation"": ""MUN""}"
sr:competitor:25458,"Martinez, Luis David",Venezuela,VEN,MAR,"{""id"": ""sr:competitor:25458"", ""name"": ""Martinez, Luis David"", ""country"": ""Venezuela"", ""country_code"": ""VEN"", ""abbreviation"": ""MAR""}"
sr:competitor:124658,"Purcell, Max",Australia,AUS,PUR,"{""id"": ""sr:competitor:124658"", ""name"": ""Purcell, Max"", ""country"": ""Australia"", ""country_code"": ""AUS"", ""abbreviation"": ""PUR""}"
sr:competitor:121032,"Stalder, Reese",USA,USA,STA,"{""id"": ""sr:competitor:121032"", ""name"": ""Stalder, Reese"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""STA""}"
sr:competitor:295508,"Vrbensky, Michael",Czechia,CZE,VRB,"{""id"": ""sr:competitor:295508"", ""name"": ""Vrbensky, Michael"", ""country"": ""Czechia"", ""country_code"": ""CZE"", ""abbreviation"": ""VRB""}"
sr:competitor:92845,"Goldhoff, George",USA,USA,GOL,"{""id"": ""sr:competitor:92845"", ""name"": ""Goldhoff, George"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""GOL""}"
sr:competitor:95923,"Paris, Joshua",Great Britain,GBR,PAR,"{""id"": ""sr:competitor:95923"", ""name"": ""Paris, Joshua"", ""country"": ""Great Britain"", ""country_code"": ""GBR"", ""abbreviation"": ""PAR""}"
sr:competitor:240880,"Hilderbrand, Trey",USA,USA,HIL,"{""id"": ""sr:competitor:240880"", ""name"": ""Hilderbrand, Trey"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""HIL""}"
sr:competitor:300540,"Machac, Tomas",Czechia,CZE,MAC,"{""id"": ""sr:competitor:300540"", ""name"": ""Machac, Tomas"", ""country"": ""Czechia"", ""country_code"": ""CZE"", ""abbreviation"": ""MAC""}"
sr:competitor:808628,"Shelton, Ben",USA,USA,SHE,"{""id"": ""sr:competitor:808628"", ""name"": ""Shelton, Ben"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""SHE""}"
sr:competitor:55989,"Withrow, Jackson",USA,USA,WIT,"{""id"": ""sr:competitor:55989"", ""name"": ""Withrow, Jackson"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""WIT""}"
